City,Country,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Category,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Attractions
London,UK,Hotel,240.0,Flight,120.0,Nature,101.1,46.5,74.9,109.1,97.0,158.7,"['Big Ben', 'London Eye', 'Tower of London']"
Phuket,Thailand,Resort,160.0,Flight,100.0,Historical,85.0,36.7,61.8,81.6,83.3,54.6,"['Patong Beach', 'Big Buddha', 'Phuket Old Town']"
Bali,Indonesia,Villa,200.0,Flight,140.0,Nature,83.0,39.2,62.0,88.4,86.8,120.3,"['Uluwatu Temple', 'Tegallalang Rice Terrace', 'Ubud Monkey Forest']"
New York,USA,Hotel,400.0,Flight,200.0,Historical,76.7,67.2,72.1,74.6,50.4,111.1,"['Statue of Liberty', 'Central Park', 'Times Square']"
Tokyo,Japan,Airbnb,140.0,Train,40.0,Cultural,76.6,19.0,48.9,80.8,69.4,43.5,"['Tokyo Tower', 'Senso-ji Temple', 'Shibuya Crossing']"
Paris,France,Hotel,300.0,Flight,160.0,Cultural,76.0,26.2,52.1,79.0,73.5,114.7,"['Eiffel Tower', 'Louvre Museum', 'Notre-Dame Cathedral']"
Sydney,Australia,Hostel,100.0,Flight,240.0,Beach,72.3,26.4,50.2,64.8,81.3,127.2,"['Sydney Opera House', 'Harbour Bridge', 'Bondi Beach']"
Rio de Janeiro,Brazil,Airbnb,180.0,Flight,120.0,Historical,70.8,59.4,65.3,84.6,46.2,109.3,"['Christ the Redeemer', 'Sugarloaf Mountain', 'Copacabana Beach']"
Amsterdam,Netherlands,Hotel,240.0,Train,40.0,Cultural,70.4,41.7,56.6,75.0,67.2,142.3,"['Rijksmuseum', 'Anne Frank House', 'Van Gogh Museum']"
Dubai,United Arab Emirates,Resort,500.0,Flight,160.0,Adventure,70.2,33.4,52.5,77.3,62.5,127.4,"['Burj Khalifa', 'Dubai Mall', 'Palm Jumeirah']"
Hanoi,Vietnam,Hotel,200.0,Flight,100.0,Urban,65.1,22.5,44.7,66.4,59.3,102.4,"['Hoan Kiem Lake', 'Old Quarter', 'Temple of Literature']"
Barcelona,Spain,Airbnb,160.0,Train,20.0,Cultural,64.8,33.2,49.6,71.2,61.7,103.7,"['Sagrada Familia', 'Park Güell', 'La Rambla']"
Oslo,Norway,Resort,600.0,Flight,240.0,Urban,64.6,25.9,46.0,71.9,57.1,121.0,"['Vigeland Park', 'Akershus Fortress', 'Oslo Opera House']"
Berlin,Germany,Hotel,280.0,Flight,140.0,Adventure,64.4,42.3,53.8,59.3,65.3,101.1,"['Brandenburg Gate', 'Berlin Wall', 'Museum Island']"
Kuala Lumpur,Malaysia,Riad,120.0,Flight,80.0,Nature,63.7,21.0,43.2,69.5,56.3,102.4,"['Petronas Towers', 'Batu Caves', 'Merdeka Square']"
Lima,Peru,Hotel,180.0,Train,30.0,Beach,63.3,19.5,42.3,64.1,53.1,103.5,"['Plaza Mayor', 'Larco Museum', 'Huaca Pucllana']"
Reykjavik,Iceland,Hotel,246.2,Flight,85.2,Nature,51.9,14.7,40.4,62.6,31.8,38.0,"['Hallgrimskirkja', 'Blue Lagoon', 'Harpa Concert Hall']"
Copenhagen,Denmark,Hotel,173.8,Flight,120.4,Nature,62.8,28.4,74.3,63.9,46.8,63.7,"['Nyhavn', 'Tivoli Gardens', 'The Little Mermaid']"
